,payCardIDTable,payCardBank,payCardNameTable,payCardSexTable,payCardBirthDate
303,4239491402124917,dki,Qori Utama,M,1978
304,3593941122624424,dki,Jaswadi Oktaviani,M,1992
305,4767100470735914,dki,Drs. Halim Mardhiyah,M,1980
306,6011820162338391,dki,Indah Yolanda,F,2010
307,4840152118831911,dki,Titi Yuniar,M,2003
308,3566391743255716,dki,"Drs. Gatot Kuswoyo, S.Kom",F,2006
309,4867268989473724945,brizzi,R.A. Yunita Sudiati,F,2000
310,4695854834812,online,Ajeng Damanik,F,1994
311,4988523548438299,dki,Wirda Pradana,F,2006
312,4059439295199729665,brizzi,Sutan Mitra Ardianto,M,1984
313,38003433495876,bni,Taufan Wijayanti,F,1986
314,4100732719565292,dki,Emong Suartini,F,1989
315,3561005929224503,dki,Cut Vanesa Jailani,M,2008
316,349341671029419,emoney,Maida Gunawan,M,1973
317,4115673575785503789,brizzi,Nrima Wahyuni,M,1996
318,4344900488488873,dki,"Ir. Sakura Wahyuni, S.E.",M,1993
319,3580447465489024,dki,Vera Nainggolan,M,1969
320,6511723853998702,dki,Ratih Prabowo,F,2010
321,377896939728412,emoney,Candrakanta Kusmawati,F,1990
322,4634030377646966,dki,Liman Handayani,M,1999
323,3590171450063457,dki,Harto Prasetyo,F,1982
324,213141104052555,emoney,"Budi Wibowo, S.T.",M,1965
325,4055700663529,online,Harsanto Waluyo,M,1981
326,4692758993912433,dki,"Fathonah Nasyidah, S.Psi",M,1981
327,570579342017,flazz,"Cut Sarah Siregar, M.M.",F,1985
328,565698720762,flazz,Nurul Kusmawati,F,1981
329,38928637811884,bni,"R.A. Zulfa Irawan, M.Ak",M,2012
330,373103624355146,emoney,"Prayoga Siregar, M.TI.",F,2006
331,4782332769032,online,Empluk Puspita,F,1989
332,2271420283087417,dki,Putu Santoso,M,1991
333,346169696737473,emoney,Asirwada Yolanda,M,1967
334,4144832574735858433,brizzi,Ghaliyati Sitompul,M,1982
335,4559806067350410,dki,Cinthia Mahendra,M,1992
336,2250799574979027,dki,"Darimin Yuliarti, S.E.",F,1993
337,4330697313978,online,Uchita Safitri,F,2011
338,3584141183990944,dki,Imam Halimah,F,2005
339,4549044148628231,dki,Dewi Situmorang,M,1999
340,4620429991141055,dki,Mahfud Nasyiah,F,1983
341,4473081020965729,dki,Rahmat Purwanti,M,1965
342,3528084471350281,dki,Ir. Mujur Firgantoro,F,1987
343,374620709034121,emoney,Uli Waskita,F,1987
344,583746974265,flazz,"dr. Ciaobella Jailani, S.IP",F,1995
345,180082056881584,emoney,Diana Nasyiah,F,2002
346,3590529498027612,dki,Darmana Januar,M,1974
347,4437093738861889,dki,"Tgk. Cawisono Widodo, S.Pt",F,1993
348,2263439075132959,dki,Tgk. Suci Wahyudin,F,2008
349,38444980689810,bni,"Rini Mansur, M.M.",F,1985
350,4830212656570230,dki,Farah Irawan,M,1997
351,3584311237237523,dki,"Ida Pertiwi, S.Psi",M,1981
352,2522422020156098,dki,Cut Belinda Yolanda,M,1992
353,4065235457412,online,"Drs. Tantri Marpaung, M.M.",F,2009
354,4486356980368162,dki,Raisa Sihombing,M,1979
355,6590170050567878,dki,Dariati Salahudin,F,1987
356,344245333929491,emoney,Nasab Farida,F,2010
357,345362031881418,emoney,Dinda Pranowo,F,1997
358,4777591277065,online,"Ika Prasetya, S.Pt",M,1993
359,344740587411899,emoney,Salwa Sudiati,F,1993
360,3556447785880753,dki,Bambang Anggraini,F,1992
361,3507926130735606,dki,Hafshah Pranowo,F,1990
362,30176566407104,bni,Putri Winarno,M,1993
363,344361940761969,emoney,Luis Saputra,M,2007
364,570769234073,flazz,Yunita Purnawati,M,1947
365,38122044734224,bni,"R. Bahuwirya Maheswara, M.Pd",F,1975
366,503818418637,flazz,"Drs. Arsipatra Winarsih, S.Pd",M,1974
367,370883567077194,emoney,Indah Nasyidah,M,2000
368,3567229731140723,dki,"Ir. Kamaria Wacana, M.Pd",M,1975
369,3530702594824314,dki,Dariati Dabukke,M,2012
370,4881595549484968272,brizzi,Ir. Kuncara Budiman,M,1985
371,6504621798070919,dki,Bakiono Yulianti,F,1977
372,3587454214264784,dki,T. Respati Kurniawan,M,1982
373,3587000634459452,dki,Putri Palastri,F,2003
374,213129264946021,emoney,"Tgk. Budi Waluyo, S.Pd",M,2011
375,180088401217820,emoney,Virman Saputra,F,2011
376,5266904234596469,dki,"Titin Rajata, S.T.",M,1973
377,3525108863386968,dki,"Yessi Saragih, S.T.",F,1978
378,502090424644,flazz,Belinda Winarsih,M,1997
379,3519968414687463,dki,Limar Pangestu,M,2005
380,4613983915583098880,brizzi,"R.A. Zalindra Fujiati, S.IP",F,1967
381,4653100237071857,dki,Reza Waluyo,F,1992
382,4145969912581950,dki,Lembah Rahmawati,M,2008
383,4178872298328,online,Elma Prasasta,F,2009
384,3550622218740099,dki,Kunthara Sitompul,M,2000
385,213127338598448,emoney,Lanang Hartati,M,1986
386,374327350494337,emoney,Irnanto Siregar,M,1987
387,213129563553585,emoney,Jamalia Widodo,F,1989
388,343673196167654,emoney,R.A. Yani Mandasari,F,1983
389,349508039383536,emoney,Jail Laksmiwati,M,1988
390,4606267298700055906,brizzi,Pangeran Prasetyo,F,1996
391,3513405022279355,dki,Harimurti Hidayanto,F,1984
392,2462834116662965,dki,Hafshah Hassanah,M,1995
393,4741638574625029,dki,"Ifa Simanjuntak, M.M.",F,1997
394,639071681212,flazz,"Sutan Ganda Siregar, S.I.Kom",M,1990
395,3588165052988149,dki,Mala Halimah,F,1995
396,574389799879,flazz,Widya Novitasari,F,1981
397,4651229192709,online,Dt. Balidin Rahmawati,M,1973
398,6539906736436002,dki,"Dr. Harto Rajata, S.Sos",F,1985
399,342873451629726,emoney,"Putu Astuti, S.Pt",F,1989
400,3518167733971408,dki,Laila Habibi,F,2009
401,3576360700580869,dki,Ratih Waskita,F,1990
402,342354728600733,emoney,drg. Emil Maulana,F,1990
403,373945655695729,emoney,Drs. Ani Gunarto,F,2010
404,675977266518,flazz,"Drs. Mulyanto Marbun, M.Ak",M,1991
405,344213335508101,emoney,"Raina Mandasari, M.Ak",F,1990
406,3564431976440635,dki,Kani Kuswoyo,F,1977
407,4299261506840792,dki,Intan Hutagalung,F,2011
408,3549888140999467,dki,Vivi Winarno,F,1999
409,36496285289268,bni,"drg. Ismail Maryati, S.H.",M,1988
410,4221534676031062201,brizzi,T. Kenzie Kusmawati,F,1993
411,375992920958852,emoney,Taufan Hakim,F,1991
412,4178640496220,online,"Cut Laras Prakasa, S.Pt",F,1994
413,347929886062886,emoney,Hendri Anggraini,F,1996
414,30223859530414,bni,Cemani Mandala,F,1988
415,3577812821376444,dki,"Tgk. Kacung Hariyah, S.Psi",F,1998
416,213171814727436,emoney,Oni Zulaika,F,1967
417,4426607873766646,dki,"Dt. Jarwi Pratama, S.Sos",F,2007
418,3523540559634586,dki,"Ida Firmansyah, S.Ked",F,1992
419,3560414507411188,dki,Tania Hutagalung,M,1977
420,4523609193377882,dki,Raisa Pranowo,M,1984
421,38145623173878,bni,Edward Agustina,F,1986
422,3599683654187735,dki,Karma Prayoga,M,1984
423,180058810068478,emoney,Kayla Mustofa,F,1983
424,4102167640565830,dki,drg. Hadi Budiman,M,1993
425,2531960764577069,dki,Vera Prastuti,F,1977
426,30028559036939,bni,Jelita Hartati,F,1981
427,3500406208201663,dki,Shakila Maheswara,F,2011
428,30124790379442,bni,Humaira Siregar,M,1974
429,5485587486926420,dki,"Dt. Galur Mardhiyah, S.H.",F,1985
430,3584103241833557,dki,Gangsar Mandala,F,1996
431,4391566376094750,dki,Alika Suartini,F,1994
432,3541829079331817,dki,R. Rahmi Pratama,F,2009
433,639017368171,flazz,"Hasta Habibi, S.Gz",M,1954
434,346061047522649,emoney,Bancar Wastuti,M,2009
435,4545678640285,online,"Zelaya Yulianti, S.H.",F,1988
436,2240506699202000,dki,Jinawi Wahyudin,F,1972
437,4404747427425,online,"Uli Maheswara, M.Ak",M,1979
438,2718014208299529,dki,Anita Nasyidah,M,1988
439,4721559872699,online,dr. Salwa Hutasoit,M,1995
440,4297811611951441352,brizzi,Vivi Prasasta,M,1971
441,501847066963,flazz,"drg. Puput Anggraini, S.Sos",F,1992
442,560641215168,flazz,"Anita Kusumo, S.Kom",F,1988
443,375733228317346,emoney,Safina Mahendra,M,1996
444,180058125433821,emoney,Dt. Garang Handayani,F,1995
445,346850601386403,emoney,"dr. Gaduh Mardhiyah, M.Ak",F,2012
446,213153759287790,emoney,Ilyas Saptono,M,1978
447,180085705098484,emoney,Nilam Situmorang,M,1989
448,3598683593819464,dki,"Qori Yuliarti, M.M.",F,2002
449,30556814567546,bni,Ilsa Suartini,F,2009
450,4634906478247749,dki,Adika Winarno,M,1966
451,6011868457648198,dki,Adinata Saefullah,M,2008
452,30291943608454,bni,"Prayoga Wacana, S.Sos",F,1989
453,4574330559253750588,brizzi,H. Mustofa Namaga,M,2001
454,2262895273485674,dki,Tgk. Jinawi Mardhiyah,M,1948
455,344759922278193,emoney,"Ir. Vicky Nababan, S.Psi",F,2011
456,4154371406506,online,Cinta Sudiati,M,1995
457,4551460266928272218,brizzi,Paris Situmorang,F,1985
458,4714185667209060206,brizzi,Mila Budiyanto,F,2008
459,4306472306032873058,brizzi,"Salman Hidayat, M.Kom.",F,1994
460,5284357716838446,dki,"Vanesa Hakim, S.T.",M,1966
461,4201648447126,online,"Laswi Januar, S.Farm",F,1987
462,4910979849839,online,Wasis Purwanti,M,1965
463,2404452537259245,dki,KH. Cecep Mulyani,M,2004
464,30394112886362,bni,Wulan Andriani,M,1953
465,4663510135687091,dki,"Salwa Padmasari, M.TI.",F,1993
466,38388277128513,bni,Dirja Uyainah,F,1981
467,377115454157620,emoney,Zulfa Haryanto,F,2012
468,4328649374956804,dki,"Opung Firgantoro, S.E.",F,1993
469,347362561132057,emoney,Rika Hutapea,F,1987
470,4831845398938485,dki,Raden Yolanda,M,2009
